filepath,layer,language,frequency
0shot_arabic_czech_predictions.csv,20,ara,0.5990999999999999
0shot_arabic_czech_predictions.csv,21,eng,452.13369999999895
0shot_arabic_czech_predictions.csv,21,ara,1.2022999999999997
0shot_arabic_czech_predictions.csv,21,ces,7.8670000000000035
0shot_arabic_czech_predictions.csv,22,eng,447.47970000000055
0shot_arabic_czech_predictions.csv,22,ara,1.4735
0shot_arabic_czech_predictions.csv,22,ces,12.3792
0shot_arabic_czech_predictions.csv,23,eng,453.1274000000007
0shot_arabic_czech_predictions.csv,23,ara,1.5449000000000002
0shot_arabic_czech_predictions.csv,23,ces,14.216099999999996
0shot_arabic_czech_predictions.csv,24,eng,423.61589999999995
0shot_arabic_czech_predictions.csv,24,ara,2.7373
0shot_arabic_czech_predictions.csv,24,ces,19.094099999999987
0shot_arabic_czech_predictions.csv,25,ces,48.51059999999996
0shot_arabic_czech_predictions.csv,25,eng,303.7571000000003
0shot_arabic_czech_predictions.csv,25,ara,2.7026000000000003
0shot_arabic_czech_predictions.csv,26,ces,102.1412999999999
0shot_arabic_czech_predictions.csv,26,eng,255.34900000000007
0shot_arabic_czech_predictions.csv,26,ara,3.1883000000000012
0shot_arabic_czech_predictions.csv,27,ces,264.55389999999943
0shot_arabic_czech_predictions.csv,27,eng,104.37220000000006
0shot_arabic_czech_predictions.csv,27,ara,6.154299999999996
0shot_arabic_czech_predictions.csv,28,ces,294.6165999999997
0shot_arabic_czech_predictions.csv,28,ara,7.074299999999998
0shot_arabic_czech_predictions.csv,28,eng,17.505199999999995
0shot_arabic_czech_predictions.csv,10,eng,0.9782999999999994
0shot_arabic_czech_predictions.csv,10,ces,0.14940000000000006
0shot_arabic_czech_predictions.csv,14,eng,0.4976000000000003
0shot_arabic_czech_predictions.csv,14,ces,0.4712999999999999
0shot_arabic_czech_predictions.csv,14,ara,0.0034
0shot_arabic_czech_predictions.csv,5,ces,0.30650000000000016
0shot_arabic_czech_predictions.csv,5,eng,0.06779999999999999
0shot_arabic_czech_predictions.csv,5,ara,0.0015
0shot_arabic_czech_predictions.csv,11,eng,0.3682000000000003
0shot_arabic_czech_predictions.csv,11,ces,0.3526
10shot_arabic_czech_predictions.csv,1,ces,1000.0
10shot_arabic_czech_predictions.csv,1,ara,0.0
10shot_arabic_czech_predictions.csv,2,ces,126.86190000000029
10shot_arabic_czech_predictions.csv,2,eng,0.03880000000000001
10shot_arabic_czech_predictions.csv,3,ces,17.503899999999973
10shot_arabic_czech_predictions.csv,3,eng,2.8384999999999905
10shot_arabic_czech_predictions.csv,4,ces,6.961800000000006
10shot_arabic_czech_predictions.csv,4,eng,0.027000000000000003
10shot_arabic_czech_predictions.csv,6,eng,2.7106
10shot_arabic_czech_predictions.csv,6,ces,5.012699999999993
10shot_arabic_czech_predictions.csv,8,eng,1.7495000000000158
10shot_arabic_czech_predictions.csv,8,ces,0.1326
10shot_arabic_czech_predictions.csv,8,ara,0.0037
10shot_arabic_czech_predictions.csv,9,ces,0.7129999999999999
10shot_arabic_czech_predictions.csv,9,eng,0.07849999999999997
10shot_arabic_czech_predictions.csv,9,ara,0.0013
10shot_arabic_czech_predictions.csv,10,eng,1.8262000000000127
10shot_arabic_czech_predictions.csv,10,ces,3.0160999999999984
10shot_arabic_czech_predictions.csv,10,ara,0.0516
10shot_arabic_czech_predictions.csv,11,ces,6.171799999999972
10shot_arabic_czech_predictions.csv,11,eng,2.621099999999995
10shot_arabic_czech_predictions.csv,12,ces,0.8181999999999977
10shot_arabic_czech_predictions.csv,12,eng,0.4212000000000004
10shot_arabic_czech_predictions.csv,12,ara,0.8907999999999977
10shot_arabic_czech_predictions.csv,13,eng,2.1790000000000065
10shot_arabic_czech_predictions.csv,13,ces,1.6103000000000072
10shot_arabic_czech_predictions.csv,13,ara,0.056999999999999995
10shot_arabic_czech_predictions.csv,14,ces,1.4062000000000023
10shot_arabic_czech_predictions.csv,14,eng,1.0463000000000002
10shot_arabic_czech_predictions.csv,14,ara,0.14660000000000004
10shot_arabic_czech_predictions.csv,15,ces,2.639899999999998
10shot_arabic_czech_predictions.csv,15,eng,7.258699999999977
10shot_arabic_czech_predictions.csv,15,ara,0.07699999999999999
10shot_arabic_czech_predictions.csv,16,ces,2.8503999999999996
10shot_arabic_czech_predictions.csv,16,eng,70.32529999999997
10shot_arabic_czech_predictions.csv,16,ara,0.06559999999999999
10shot_arabic_czech_predictions.csv,17,ces,3.1486999999999994
10shot_arabic_czech_predictions.csv,17,eng,112.97419999999977
10shot_arabic_czech_predictions.csv,17,ara,0.07139999999999999
10shot_arabic_czech_predictions.csv,18,eng,175.51730000000038
10shot_arabic_czech_predictions.csv,18,ces,2.6479999999999984
10shot_arabic_czech_predictions.csv,18,ara,0.0761
10shot_arabic_czech_predictions.csv,19,eng,346.85439999999926
10shot_arabic_czech_predictions.csv,19,ces,4.762100000000002
10shot_arabic_czech_predictions.csv,19,ara,0.27890000000000004
10shot_arabic_czech_predictions.csv,20,eng,479.64119999999895
10shot_arabic_czech_predictions.csv,20,ces,6.786599999999996
10shot_arabic_czech_predictions.csv,20,ara,0.1217
10shot_arabic_czech_predictions.csv,21,eng,589.004799999999
10shot_arabic_czech_predictions.csv,21,ara,0.45009999999999994
10shot_arabic_czech_predictions.csv,21,ces,6.5169000000000015
10shot_arabic_czech_predictions.csv,22,eng,603.0540999999984
10shot_arabic_czech_predictions.csv,22,ara,0.5338
